Market,Sector,Symbol,Excluded,ContributionDelta
US,Information Technology,PLTR,1,0.024834296779408432
US,Information Technology,NVDA,1,0.022562527223177423
US,Information Technology,MU,1,0.019716358840607046
US,Information Technology,LRCX,0,0.008554325395805557
KR,ETF,0000J0,0,0.0037384086635107935
US,Consumer Discretionary,TSLA,0,0.003690214174632535
US,Information Technology,AMD,0,0.0025393792262502074
US,Financials,GS,0,0.002316477563231953
KR,ETF,069500,0,0.0019686817582099054
US,Industrials,GE,0,0.0009939151130441328
US,Energy,XOM,0,0.0002758264890808295
US,Information Technology,AVGO,0,0.0002283183345900457
US,Communication Services,NFLX,0,8.336539251106831e-05
KR,Information Technology,007810,0,0.0
KR,Information Technology,053610,0,0.0
KR,Information Technology,083450,0,0.0
KR,Materials,008350,0,0.0
KR,Industrials,099320,0,0.0
KR,Industrials,058610,0,0.0
KR,Health Care,214370,0,0.0
KR,Health Care,174900,0,0.0
KR,Industrials,056080,0,0.0
KR,Consumer Staples,003230,0,0.0
US,Information Technology,NOW,0,0.0
US,Industrials,UPS,0,0.0
US,Consumer Discretionary,GM,0,0.0
US,Consumer Discretionary,BKNG,0,0.0
US,Communication Services,META,0,0.0
KR,Materials,348370,0,0.0
US,Consumer Discretionary,AMZN,0,0.0
US,Communication Services,T,0,0.0
KR,Industrials,319400,0,0.0
KR,Information Technology,080220,0,0.0
US,Financials,BLK,0,0.0
US,Consumer Staples,MO,0,0.0
US,Energy,XLE,0,0.0
US,Energy,CVX,0,0.0
US,Financials,AIG,0,0.0
US,Consumer Staples,CL,0,0.0
US,Health Care,AMGN,0,0.0
US,Health Care,BIIB,0,0.0
US,Health Care,BMY,0,0.0
US,Financials,MS,0,0.0
US,Financials,PYPL,0,0.0
US,Financials,SCHW,0,0.0
US,Financials,V,0,0.0
US,Financials,WFC,0,0.0
US,Health Care,ISRG,0,0.0
US,Financials,AXP,0,0.0
US,Financials,BK,0,0.0
US,Financials,BAC,0,0.0
US,Financials,COF,0,0.0
US,Financials,MET,0,0.0
US,Financials,MA,0,0.0
US,Financials,JPM,0,0.0
US,Information Technology,QCOM,0,0.0
US,Information Technology,INTU,0,0.0
US,Industrials,RTX,0,0.0
US,Industrials,UBER,0,0.0
US,Health Care,CVS,0,0.0
US,Health Care,LLY,0,0.0
US,Health Care,JNJ,0,0.0
US,Health Care,MRK,0,0.0
US,Industrials,FDX,0,0.0
US,Industrials,GD,0,0.0
US,Health Care,TMO,0,0.0
US,Health Care,PFE,0,0.0
US,Industrials,BA,0,0.0
US,Industrials,CAT,0,0.0
US,Industrials,DE,0,0.0
US,Health Care,UNH,0,0.0
US,Materials,DD,0,0.0
US,Information Technology,ORCL,0,0.0
US,Information Technology,AMAT,0,0.0
US,Information Technology,MSFT,0,0.0
US,Industrials,LMT,0,0.0
US,Industrials,LIN,0,0.0
US,Information Technology,INTC,0,0.0
US,Information Technology,AAPL,0,0.0
US,Energy,COP,0,-0.0003582440377728558
US,Health Care,GILD,0,-0.0007044727528123635
US,Information Technology,ADBE,0,-0.0008360882873310379
US,Financials,BRK.B,0,-0.0014180721679189741
US,Industrials,GEV,0,-0.0014682184685544202
US,Financials,C,0,-0.0016732103983057825
KR,ETF,379800,0,-0.0018297778471420205
KR,ETF,360750,0,-0.005054880746383412
