Market,Code,LastExistingDate,RefreshStartDate,RefreshEndDate,FetchedBars,LastUpdatedDate
STOCK,000050,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,000490,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,000650,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,001200,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,003230,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,003620,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,006400,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,007810,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,008350,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,024060,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,036170,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,038500,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,041920,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,042940,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,049630,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,053610,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,056080,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,058610,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,080220,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,083450,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,084670,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,095610,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,099320,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,123690,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,138360,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,145020,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,174900,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,214370,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,217500,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,240810,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,272110,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,290690,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,290740,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,319400,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,327260,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,348370,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,361390,2026-04-03,20260304,20260410,28,2026-04-10
STOCK,402340,2026-04-03,20260304,20260410,28,2026-04-10
ETF,0000D0,2026-04-03,20260304,20260410,28,2026-04-10
ETF,0000J0,2026-04-03,20260304,20260410,28,2026-04-10
ETF,0000Z0,2026-04-03,20260304,20260410,28,2026-04-10
ETF,069500,2026-04-03,20260304,20260410,28,2026-04-10
ETF,360750,2026-04-03,20260304,20260410,28,2026-04-10
ETF,379800,2026-04-03,20260304,20260410,28,2026-04-10
