Market,Code,CurrentOperating,SelectedNew,Decision
ETF,0000H0,1,0,DROP
ETF,0000Y0,1,0,DROP
STOCK,000020,1,0,DROP
STOCK,000040,1,0,DROP
STOCK,000070,1,0,DROP
STOCK,000080,1,0,DROP
STOCK,012200,1,0,DROP
STOCK,043220,1,0,DROP
STOCK,059210,1,0,DROP
STOCK,065170,1,0,DROP
STOCK,066900,1,0,DROP
STOCK,067000,1,0,DROP
STOCK,074610,1,0,DROP
STOCK,090710,1,0,DROP
STOCK,189330,1,0,DROP
STOCK,348340,1,0,DROP
STOCK,356890,1,0,DROP
ETF,0000D0,1,1,KEEP
ETF,0000J0,1,1,KEEP
ETF,0000Z0,1,1,KEEP
ETF,069500,1,1,KEEP
ETF,360750,1,1,KEEP
ETF,379800,1,1,KEEP
STOCK,000050,1,1,KEEP
STOCK,000650,1,1,KEEP
STOCK,003230,1,1,KEEP
STOCK,007810,1,1,KEEP
STOCK,038500,1,1,KEEP
STOCK,041920,1,1,KEEP
STOCK,049630,1,1,KEEP
STOCK,056080,1,1,KEEP
STOCK,058610,1,1,KEEP
STOCK,080220,1,1,KEEP
STOCK,084670,1,1,KEEP
STOCK,099320,1,1,KEEP
STOCK,138360,1,1,KEEP
STOCK,174900,1,1,KEEP
STOCK,290740,1,1,KEEP
STOCK,319400,1,1,KEEP
STOCK,327260,1,1,KEEP
STOCK,402340,1,1,KEEP
